repo,pr,driver_preference,risk_class,outcome_class,state,age_or_delta_hours,title,head_ref,created_at,merged_at
xenota-collective/xenon,511,xsm-internal,xsm_control_plane,merged,MERGED,0.02,xc-trpb.1: expose read-only swarm IPC,xsm/xc-trpb.1-live-swarm-ipc,2026-04-26T10:24:02Z,2026-04-26T10:25:09Z
xenota-collective/xenon,512,xsm-internal,xsm_control_plane,merged,MERGED,0.02,xc-hy4x: surface gh pr list scan failures as attention items,xsm/xc-hy4x-surface-pr-scan-failures,2026-04-26T10:25:23Z,2026-04-26T10:26:25Z
xenota-collective/xenon,513,xsm-internal,xsm_control_plane,merged,MERGED,0.02,xc-25ob: add bd lock timeout diagnostics,xsm/xc-25ob-bd-lock-timeouts,2026-04-26T10:28:45Z,2026-04-26T10:29:44Z
xenota-collective/xenon,514,codex,unclassified,merged,MERGED,0.04,xc-62sm: render supported acceptance commands,codex/xc-62sm-po-ac-bd-flag,2026-04-26T10:41:26Z,2026-04-26T10:43:50Z
xenota-collective/xenon,515,gemini,routing_evidence,merged,MERGED,0.02,xc-gcz7: define driver preference routing rules,gemini/xc-gcz7-driver-preference-routing,2026-04-26T10:45:56Z,2026-04-26T10:47:16Z
xenota-collective/xenon,516,xsm-internal,production_security,merged,MERGED,0.04,xc-95sy: redact local filesystem paths in XSM transcript audit comments,xsm/xc-95sy-redact-transcript-paths,2026-04-26T10:49:46Z,2026-04-26T10:52:18Z
xenota-collective/xenon,517,xsm-internal,xsm_control_plane,merged,MERGED,0.04,xc-trpb.3: normalize live XSM pulse data,xsm/xc-trpb.3-normalize-live-xsm-pulse,2026-04-26T10:49:57Z,2026-04-26T10:52:14Z
xenota-collective/xenon,518,xsm-internal,xsm_control_plane,merged,MERGED,0.02,xc-nih1: send real patch content to external review reviewers,xsm/xc-nih1-external-review-patch-content,2026-04-26T10:52:07Z,2026-04-26T10:53:33Z
xenota-collective/xenon,519,gemini,unclassified,merged,MERGED,0.03,xc-cast: sanitize repertoire output recursively,gemini/xc-cast-sanitize-repertoire,2026-04-26T10:57:21Z,2026-04-26T10:59:26Z
xenota-collective/xenon,520,gemini,unclassified,merged,MERGED,0.02,xc-qgj3: validate repertoire output dictionary keys recursively,gemini/xc-qgj3-validate-repertoire-keys,2026-04-26T11:03:43Z,2026-04-26T11:04:38Z
xenota-collective/xenon,521,xsm-internal,landing_protocol,merged,MERGED,0.03,xc-4fc8: detect xsm-affecting submodule pointer landings before restart,xsm/xc-4fc8-submodule-restart,2026-04-26T11:16:53Z,2026-04-26T11:18:32Z
xenota-collective/xenon,522,xsm-internal,xsm_control_plane,merged,MERGED,0.03,xc-u1j1: harden external-review patch parsing for path edge cases and spoofed empty diffs,xsm/xc-u1j1-harden-patch-parsing,2026-04-26T11:20:35Z,2026-04-26T11:22:14Z
xenota-collective/xenon,523,codex,xsm_control_plane,merged,MERGED,0.02,xc-renl: centralize worker message delivery,codex/xc-renl-centralized-delivery,2026-04-26T11:33:52Z,2026-04-26T11:35:02Z
xenota-collective/xenon,524,gemini,xsm_control_plane,merged,MERGED,0.8,xc-ruvb: require XSM-managed metadata and handle match for teardown,gemini/xc-ruvb-require-xsm-metadata,2026-04-26T17:40:06Z,2026-04-26T18:28:01Z
xenota-collective/xenon,527,gemini,cheap_eligible,merged,MERGED,0.05,xc-qgj3: update docstring for repertoire key validation,gemini/xc-qgj3-validate-repertoire-keys,2026-04-26T18:38:46Z,2026-04-26T18:41:37Z
xenota-collective/xenon,529,xsm-internal,xsm_control_plane,merged,MERGED,1.35,xc-5b34: validate xc-crew lane name before gt crew restart,xsm/xc-5b34-validate-crew-lane,2026-04-26T19:28:17Z,2026-04-26T20:49:33Z
xenota-collective/xenon,530,xsm-internal,production_security,merged,MERGED,42.51,xc-vi07: honor changed_paths in qa_state intake to lock sensitive-changes gate,xsm/xc-vi07-qa-state-changed-paths,2026-04-26T19:29:44Z,2026-04-28T14:00:09Z
xenota-collective/xenon,531,codex,xsm_control_plane,merged,MERGED,4.46,xc-9t40: anchor XSM status tuple parsing,codex/xc-9t40-anchor-status-tuples,2026-04-26T19:36:23Z,2026-04-27T00:04:10Z
xenota-collective/xenon,532,xsm-internal,landing_protocol,merged,MERGED,6.86,xc-s3r2: gate hook classification on freshness,xsm/xc-s3r2-hook-freshness,2026-04-26T19:38:28Z,2026-04-27T02:30:10Z
xenota-collective/xenon,533,gemini,landing_protocol,open_stale,OPEN,147.52,xc-cy0z: Enforce manual-QA receipt before staged-pipeline advances,gemini/xc-cy0z-enforce-manual-qa,2026-04-26T20:28:58Z,
xenota-collective/xenon,534,gemini,unclassified,merged,MERGED,3.74,xc-vybs: implement blocked objective suppression,gemini/xc-vybs-suppress-blocked-objective-children,2026-04-26T20:40:31Z,2026-04-27T00:25:02Z
xenota-collective/xenon,535,codex,xsm_control_plane,merged,MERGED,1.98,xc-h532: bound XSM pulse subprocesses,codex/xc-h532-bound-pulse-subprocesses,2026-04-26T20:44:32Z,2026-04-26T22:43:23Z
xenota-collective/xenon,536,gemini,landing_protocol,open_stale,OPEN,147.15,xc-338x: ignore unresolvable LiteLLM updates,gemini/xc-338x-fix-litellm-click-conflict,2026-04-26T20:50:56Z,
xenota-collective/xenon,537,codex,production_security,merged,MERGED,2.0,xc-ubt4: enforce emergency hotfix audit,codex/xc-ubt4-hotfix-audit-push-enforcement,2026-04-26T20:51:29Z,2026-04-26T22:51:33Z
xenota-collective/xenon,538,xsm-internal,xsm_control_plane,open_stale,OPEN,147.1,xc-trpb.2: replace demo swarm routes with live data hook,xsm/xc-trpb.2-live-data-hook,2026-04-26T20:54:10Z,
xenota-collective/xenon,539,codex,xsm_control_plane,open_stale,OPEN,145.7,Pin reopened workmux windows to worker handles,codex/xsm-workmux-driver-window-fix,2026-04-26T22:18:09Z,
xenota-collective/xenon,540,xsm-internal,landing_protocol,open_stale,OPEN,144.93,xc-6aoe: add submodule-pointer PR required-check verifier and landing gate,xsm/xc-6aoe-pointer-pr-check-coverage,2026-04-26T23:03:55Z,
xenota-collective/xenon,541,codex,routing_evidence,open_stale,OPEN,144.61,xc-ixg6: route dependency-update PRs by risk,codex/xc-ixg6-dep-update-routing,2026-04-26T23:23:39Z,
xenota-collective/xenon,542,gemini,unclassified,open_stale,OPEN,143.91,"xc-trpb.5: show available AI accounts, quotas, and token usage",gemini/xc-trpb.5-account-capacity-view,2026-04-27T00:05:35Z,
xenota-collective/xenon,544,xsm-internal,xsm_control_plane,open_stale,OPEN,143.5,xc-mkq3: reject self-blocked backlog leaves,xsm/xc-mkq3-self-blocked-leaf,2026-04-27T00:29:55Z,
xenota-collective/xenon,545,xsm-internal,landing_protocol,open_stale,OPEN,141.91,xc-k7p6: require PR handoff preflight,xsm/xc-k7p6-pr-preflight,2026-04-27T02:05:20Z,
xenota-collective/xenon,546,xsm-internal,xsm_control_plane,open_stale,OPEN,141.69,xc-qj62: quarantine malformed XSM event rows,xsm/xc-qj62-event-quarantine,2026-04-27T02:18:43Z,
xenota-collective/xenon,547,codex,xsm_control_plane,merged,MERGED,46.8,xc-17ri: harden Gemini delivery verification,codex/xc-17ri-gemini-modal-recovery,2026-04-27T02:44:53Z,2026-04-29T01:32:46Z
xenota-collective/xenon,548,codex,xsm_control_plane,open_stale,OPEN,139.55,Enforce bead skill matching in XSM dispatch,codex/xc-f5r8-required-worker-skills,2026-04-27T04:27:08Z,
xenota-collective/xenon,550,claude,xsm_control_plane,open_stale,OPEN,139.35,xc-bqeb: make interrupt_guard_blocked terminal for the rejected restart attempt,claude/xc-bqeb-interrupt-guard-terminal,2026-04-27T04:39:07Z,
xenota-collective/xenon,551,codex,xsm_control_plane,open_stale,OPEN,121.55,xc-qcgt: validate worker skills before startup,codex/xc-qcgt-lane-skill-validation,2026-04-27T22:27:01Z,
xenota-collective/xenon,552,codex,xsm_control_plane,merged,MERGED,4.51,xc-so9a: respawn workers under fd pressure,codex/xc-so9a-respawn-on-fd-pressure,2026-04-27T23:48:38Z,2026-04-28T04:19:15Z
xenota-collective/xenon,553,xsm-internal,xsm_control_plane,open_stale,OPEN,119.0,xc-3c4d: keep wrangle alive on repertoire failure,xsm/xc-3c4d-codex-ca-certs,2026-04-28T00:59:45Z,
xenota-collective/xenon,554,xsm-internal,xsm_control_plane,merged,MERGED,24.59,xc-mklx: prophylactic gemini pane recycle for fd leak workaround,xsm/xc-mklx-gemini-fd-recycler,2026-04-28T01:17:59Z,2026-04-29T01:53:09Z
xenota-collective/xenon,555,codex,xsm_control_plane,merged,MERGED,3.04,xc-6rry: require pool-fill dispatch provenance,codex/xc-6rry-pool-fill-provenance,2026-04-28T01:32:37Z,2026-04-28T04:34:51Z
xenota-collective/xenon,556,codex,cheap_eligible,open_stale,OPEN,117.03,xc-mqte: fix Codex prompt delivery verification,codex/xc-mqte-codex-prompt-delivery,2026-04-28T02:58:09Z,
xenota-collective/xenon,557,codex,xsm_control_plane,merged,MERGED,0.11,xc-w5po: refresh XSM assignment status from branch,codex/xc-w5po-xsm-monitor-refresh,2026-04-28T03:00:49Z,2026-04-28T03:07:36Z
xenota-collective/xenon,558,claude,xsm_control_plane,open_stale,OPEN,116.96,xc-yfqo: re-prime role patrol lanes with role_packages on /clear,claude/xc-yfqo-role-patrol-relaunch,2026-04-28T03:02:41Z,
xenota-collective/xenon,560,codex,xsm_control_plane,open_stale,OPEN,116.17,xc-8v2b0: add patrol parked lane safety net,codex/xc-8v2b0-supervisor-parked-walk,2026-04-28T03:49:38Z,
xenota-collective/xenon,561,codex,landing_protocol,open_stale,OPEN,115.86,xc-r8bsr: add TUI gate grammar,codex/xc-r8bsr-tui-grammar,2026-04-28T04:08:34Z,
xenota-collective/xenon,562,claude,xsm_control_plane,merged,MERGED,20.51,xc-zojv: reap orphaned worker poll-loops in wrangle pass,claude/xc-zojv-orphan-poll-cleanup,2026-04-28T04:24:01Z,2026-04-29T00:54:20Z
xenota-collective/xenon,563,claude,xsm_control_plane,merged,MERGED,12.46,xc-mvrh: tmux window-name hygiene + stable workmux-handle targeting,claude/xc-mvrh-tmux-window-name-hygiene,2026-04-28T04:45:22Z,2026-04-28T17:12:43Z
xenota-collective/xenon,564,claude,unclassified,open_stale,OPEN,114.84,xc-74za: bound queue entry size and drain batch memory,claude/xc-74za-queue-payload-bounds,2026-04-28T05:09:48Z,
xenota-collective/xenon,565,codex,routing_evidence,open_stale,OPEN,114.71,xc-twv1: surface evidence collection failures,codex/xc-twv1-evidence-failures,2026-04-28T05:17:36Z,
xenota-collective/xenon,566,codex,landing_protocol,merged,MERGED,1.88,xc-5pc4: fail pr handoff on lookup errors,codex/xc-5pc4-pr-handoff-lookup-errors,2026-04-28T05:29:57Z,2026-04-28T07:22:58Z
xenota-collective/xenon,567,codex,landing_protocol,open_stale,OPEN,112.44,xc-4nlcj: resolve known operator gates,codex/xc-4nlcj-operator-gate-resolver,2026-04-28T07:33:38Z,
xenota-collective/xenon,568,claude,unclassified,merged,MERGED,17.15,xc-9l5su: enforce single-active-bead invariant via drift reconciler,claude/xc-9l5su-single-active-bead,2026-04-28T07:39:13Z,2026-04-29T00:48:27Z
xenota-collective/xenon,569,codex,xsm_control_plane,open_stale,OPEN,111.97,xc-4uhlk: submit Gemini prompts with control m,codex/xc-4uhlk-gemini-enter-delivery,2026-04-28T08:02:05Z,
xenota-collective/xenon,570,codex,xsm_control_plane,open_stale,OPEN,111.75,xc-m3e7: add supervisor patrol cadence,codex/xc-m3e7-supervisor-no-sleep-cadence,2026-04-28T08:15:11Z,
xenota-collective/xenon,571,codex,xsm_control_plane,open_stale,OPEN,111.67,xc-3s63: cover pool-fill restart cross-talk,codex/xc-3s63-pool-fill-settlement-coverage,2026-04-28T08:19:47Z,
xenota-collective/xenon,572,codex,xsm_control_plane,open_stale,OPEN,111.48,xc-9kbx: add role lane self-resume,codex/xc-9kbx-role-lane-self-resume,2026-04-28T08:31:09Z,
xenota-collective/xenon,573,codex,unclassified,open_stale,OPEN,111.2,xc-yzkw: require strong review receipts,codex/xc-yzkw-strong-review-receipts,2026-04-28T08:47:53Z,
xenota-collective/xenon,574,codex,unclassified,open_stale,OPEN,111.06,xc-qxqt: ignore blocked objective notes,codex/xc-qxqt-blocked-objective-classification,2026-04-28T08:56:40Z,
xenota-collective/xenon,575,codex,landing_protocol,open_stale,OPEN,110.9,xc-5hlu: close obsolete dirty landing beads,codex/xc-5hlu-obsolete-dirty-landings,2026-04-28T09:05:47Z,
xenota-collective/xenon,576,codex,xsm_control_plane,open_stale,OPEN,110.69,xc-x6ud: separate read-only XSM routing labels,codex/xc-x6ud-xsm-label-taxonomy,2026-04-28T09:18:25Z,
xenota-collective/xenon,577,codex,unclassified,open_stale,OPEN,110.41,xc-3kyt: validate staged strategy metadata,codex/xc-3kyt-strategy-schema-contract,2026-04-28T09:35:19Z,
xenota-collective/xenon,578,codex,xsm_control_plane,open_stale,OPEN,110.24,xc-2k77: add XSM PR provenance blocks,codex/xc-2k77-pr-provenance-blocks,2026-04-28T09:45:34Z,
xenota-collective/xenon,579,codex,routing_evidence,open_stale,OPEN,110.03,xc-u8p2: reset exhausted interventions on evidence change,codex/xc-u8p2-intervention-evidence-reset,2026-04-28T09:58:02Z,
xenota-collective/xenon,580,codex,xsm_control_plane,open_stale,OPEN,109.89,xc-fv0c: constrain xsm queue worker ids,codex/xc-fv0c-safe-worker-ids,2026-04-28T10:06:23Z,
xenota-collective/xenon,581,codex,xsm_control_plane,open_stale,OPEN,109.64,xc-fkr2: route pool dispatch by preference,codex/xc-fkr2-driver-routing,2026-04-28T10:21:34Z,
xenota-collective/xenon,582,codex,unclassified,open_stale,OPEN,107.18,test live dependency lookup failures,codex/xc-edsg-fail-closed-deps,2026-04-28T12:49:11Z,
xenota-collective/xenon,583,codex,production_security,open_stale,OPEN,107.17,xc-3gdtz: clear stale routing audit fields,codex/xc-3gdtz-clear-routing-audit,2026-04-28T12:49:48Z,
xenota-collective/xenon,584,codex,routing_evidence,open_stale,OPEN,107.11,test unlabeled driver preference routing,codex/xc-fi5hp-unlabeled-driver-routing,2026-04-28T12:53:42Z,
xenota-collective/xenon,585,codex,unclassified,open_stale,OPEN,107.02,enforce driver preference resolution,codex/xc-x97gi-enforce-driver-strength,2026-04-28T12:59:05Z,
xenota-collective/xenon,586,codex,production_security,open_stale,OPEN,106.96,Enforce SSH host key verification in vps-control,codex/xc-gc8z-ssh-host-key,2026-04-28T13:02:20Z,
xenota-collective/xenon,587,codex,unclassified,open_stale,OPEN,106.95,honor projection work queue state,codex/xc-tvxs-work-state-scan,2026-04-28T13:03:11Z,
xenota-collective/xenon,588,codex,xsm_control_plane,merged,MERGED,12.96,xc-a3bst prime control roles on respawn,codex/xc-a3bst-prime-control-respawn,2026-04-28T13:10:51Z,2026-04-29T02:08:44Z
xenota-collective/xenon,589,gemini,xsm_control_plane,open_stale,OPEN,106.8,xc-vccrk: retry transient codex failures and stabilize wrangle loop,gemini-1/xc-vccrk-codex-subprocess-crash,2026-04-28T13:12:16Z,
xenota-collective/xenon,590,codex,unclassified,open_stale,OPEN,106.68,xc-wvwdx: fix wait-idle activity classifier,codex/xc-wvwdx-wait-idle-classifier,2026-04-28T13:19:14Z,
xenota-collective/xenon,591,codex,xsm_control_plane,open_stale,OPEN,106.67,xc-e94u block generic prompts to main lane,codex/xc-e94u-block-main-injection,2026-04-28T13:20:00Z,
xenota-collective/xenon,592,claude,xsm_control_plane,open_stale,OPEN,106.64,xc-0yqv: block off-mission prompt injection into role patrol lanes,claude/xc-0yqv-role-lane-prompt-guard,2026-04-28T13:21:25Z,
xenota-collective/xenon,593,claude,landing_protocol,open_stale,OPEN,106.58,xc-aui5z: nudge workers when PRs become conflicting,claude/xc-aui5z-pr-conflicting-patrol,2026-04-28T13:25:04Z,
xenota-collective/xenon,594,codex,landing_protocol,merged,MERGED,10.84,xc-cgkun: surface control lane approval gates,codex/xc-cgkun-supervisor-landing-gates,2026-04-28T13:29:37Z,2026-04-29T00:19:52Z
xenota-collective/xenon,595,codex,unclassified,merged,MERGED,12.39,xc-fjtg: wire late review followups,codex/xc-fjtg-late-review-input,2026-04-28T13:32:13Z,2026-04-29T01:55:24Z
xenota-collective/xenon,596,claude,xsm_control_plane,open_stale,OPEN,106.37,xc-lgcz: add routing-accuracy eval for driver_preference dispatch,claude/xc-lgcz-routing-accuracy-eval,2026-04-28T13:37:52Z,
xenota-collective/xenon,597,codex,production_security,merged,MERGED,10.57,xc-qkx1: audit partial pool rollback,codex/xc-qkx1-pool-fill-audit,2026-04-28T13:41:08Z,2026-04-29T00:15:05Z
xenota-collective/xenon,598,codex,production_security,open_stale,OPEN,106.22,xc-vi07.4: fail closed sensitive approvals,codex/xc-vi07.4-sensitive-approvals,2026-04-28T13:47:00Z,
xenota-collective/xenon,599,gemini,production_security,open_stale,OPEN,106.19,xc-gc8z: enforce SSH host-key verification in vps-control Target,gemini/xc-gc8z-ssh-host-key,2026-04-28T13:48:41Z,
xenota-collective/xenon,600,claude,landing_protocol,merged,MERGED,8.25,xc-hi4uz: restore xenon check.sh gate health,claude/xc-hi4uz-xenon-check-gate,2026-04-28T13:49:09Z,2026-04-28T22:04:17Z
xenota-collective/xenon,601,codex,unclassified,open_stale,OPEN,105.99,xc-c3r0w: fix gemini interrupt delivery,codex/xc-c3r0w-gemini-interrupt,2026-04-28T14:00:49Z,
xenota-collective/xenon,602,claude,production_security,open_stale,OPEN,105.97,xc-vi07.5: record trusted approval provenance for sensitive-change reviews,claude/xc-vi07-5-trusted-approval-provenance,2026-04-28T14:01:39Z,
xenota-collective/xenon,603,codex,xsm_control_plane,open_stale,OPEN,105.93,xc-17ri.5: define fail-closed delivery lane lifecycle,codex/xc-17ri5-fail-closed-lifecycle,2026-04-28T14:03:59Z,
xenota-collective/xenon,604,gemini,xsm_control_plane,open_stale,OPEN,105.74,xc-pdjo: Clean XSM package-wide black/flake8 baseline,gemini/xc-pdjo-xsm-lint-baseline,2026-04-28T14:15:23Z,
xenota-collective/xenon,605,codex,xsm_control_plane,open_stale,OPEN,105.74,xc-l1hr: strip ANSI prefixes from XSM status tuples,codex/xc-l1hr-ansi-status-parsing,2026-04-28T14:15:37Z,
xenota-collective/xenon,606,codex,xsm_control_plane,open_stale,OPEN,105.24,xc-iq2py: add supervisor intervention RCA role,codex/xc-iq2py-supervisor-pane-rca,2026-04-28T14:45:30Z,
xenota-collective/xenon,607,claude,xsm_control_plane,merged,MERGED,1.16,xc-9kbx: role lane self-resume from role_packages on pane pollution,claude/xc-9kbx-role-self-resume,2026-04-28T14:53:18Z,2026-04-28T16:03:04Z
xenota-collective/xenon,608,codex,unclassified,merged,MERGED,1.17,xc-gwxl4: suppress Codex template pollution resets,codex/xc-gwxl4-codex-template-pollution,2026-04-28T14:54:00Z,2026-04-28T16:04:25Z
xenota-collective/xenon,609,codex,unclassified,merged,MERGED,1.09,xc-gwxl4: verify codex assignment delivery,codex/xc-gwxl4-codex-enter-positive-verification,2026-04-28T15:02:26Z,2026-04-28T16:07:47Z
xenota-collective/xenon,610,codex,xsm_control_plane,merged,MERGED,2.03,xc-mb5r: claim ready beads before worker reset,codex/xc-mb5r-claim-ready-before-reset,2026-04-28T15:43:25Z,2026-04-28T17:45:09Z
xenota-collective/xenon,611,codex,xsm_control_plane,merged,MERGED,1.85,xc-oxuov: reroute Gemini quota-blocked lanes,codex/xc-oxuov-gemini-quota-reroute,2026-04-28T16:05:24Z,2026-04-28T17:56:23Z
xenota-collective/xenon,612,codex,xsm_control_plane,merged,MERGED,7.73,xc-g0vrq/xc-oxl01: add intervention ledger and preserve role self-resume,codex/xc-g0vrq-intervention-ledger,2026-04-28T16:14:13Z,2026-04-28T23:57:44Z
xenota-collective/xenon,613,codex,landing_protocol,merged,MERGED,0.42,xc-ofo2c: ignore stale Codex blocker summaries,codex/xc-ofo2c-codex-blocker-summary,2026-04-28T16:27:33Z,2026-04-28T16:52:31Z
xenota-collective/xenon,614,claude,unclassified,merged,MERGED,0.41,xc-2q593: resolve filesystem repo paths to OWNER/REPO before gh --repo,claude/xc-2q593-pr-scan-repo-path,2026-04-28T16:30:01Z,2026-04-28T16:54:34Z
xenota-collective/xenon,615,codex,cheap_eligible,merged,MERGED,0.61,xc-zy9s5: harden Gemini prompt submit,codex/xc-zy9s5-gemini-idle-send,2026-04-28T17:15:55Z,2026-04-28T17:52:29Z
xenota-collective/xenon,616,codex,xsm_control_plane,merged,MERGED,1.38,xc-kt9ug: resolve pane-id leases during restart recovery,codex/xc-kt9ug-restart-recovery-pane-ids,2026-04-28T17:47:58Z,2026-04-28T19:10:31Z
xenota-collective/xenon,617,codex,xsm_control_plane,open_stale,OPEN,102.15,xc-iojlw: recover poisoned Gemini sessions,codex/xc-iojlw-gemini-poisoned-session,2026-04-28T17:50:54Z,
xenota-collective/xenon,618,claude,landing_protocol,open_stale,OPEN,101.78,xc-xs8t: drop LLM-supplied bead_id and pr_number from parse_verdict,claude/xc-xs8t-drop-llm-supplied-ids,2026-04-28T18:13:17Z,
xenota-collective/xenon,619,codex,xsm_control_plane,merged,MERGED,76.83,xc-jbuo2: recover workmux disconnects,worker-codex-2/xc-jbuo2-gemini-workmux-disconnect,2026-04-28T18:19:34Z,2026-05-01T23:09:12Z
xenota-collective/xenon,620,codex,landing_protocol,merged,MERGED,7.55,xc-pwt1h: fix landing pane target resolution,codex/xc-pwt1h-landing-pane-resolution,2026-04-28T18:30:57Z,2026-04-29T02:04:08Z
xenota-collective/xenon,621,codex,xsm_control_plane,open_stale,OPEN,101.27,xc-id4g: share XSM status-line regex,codex/xc-id4g-status-regex,2026-04-28T18:43:44Z,
xenota-collective/xenon,622,codex,xsm_control_plane,open_stale,OPEN,101.19,xc-eech: add dispatchable status allowlist,codex/xc-eech-find-available-allowlist,2026-04-28T18:48:43Z,
xenota-collective/xenon,623,codex,xsm_control_plane,open_stale,OPEN,101.13,xc-eb9s: log near-miss XSM status lines,codex/xc-eb9s-status-near-miss-log,2026-04-28T18:52:27Z,
xenota-collective/xenon,624,codex,unclassified,open_stale,OPEN,101.04,xc-g9j2: add structured blocked-parent bypass,codex/xc-g9j2-structured-blocked-bypass,2026-04-28T18:57:38Z,
xenota-collective/xenon,625,codex,xsm_control_plane,open_stale,OPEN,100.82,xc-dhdq: prune stale worker assignment metadata,codex/xc-dhdq-worker-metadata-realign,2026-04-28T19:10:53Z,
xenota-collective/xenon,626,gemini,unclassified,open_stale,OPEN,100.74,xc-pui0l: handle Gemini Shell awaiting input,gemini/xc-pui0l-shell-input,2026-04-28T19:15:52Z,
xenota-collective/xenon,627,codex,xsm_control_plane,open_stale,OPEN,100.36,xc-7pdez: guard Gemini shell-mode delivery,codex/xc-7pdez-clear-assign-gemini-stale-pane,2026-04-28T19:38:33Z,
xenota-collective/xenon,628,claude,landing_protocol,open_stale,OPEN,100.0,xc-zo3s: rip unused handoff intervention helpers,claude/xc-zo3s-rip-unused-handoff-tracker,2026-04-28T19:59:50Z,
xenota-collective/xenon,629,codex,xsm_control_plane,open_stale,OPEN,99.95,xc-f63k: enforce lifecycle hook scopes,codex/xc-f63k-lifecycle-hook-scope,2026-04-28T20:02:55Z,
xenota-collective/xenon,630,codex,xsm_control_plane,open_stale,OPEN,99.71,xc-7r33: acknowledge XSM worker hooks by raw record count,codex/xc-7r33-hook-alignment,2026-04-28T20:17:13Z,
xenota-collective/xenon,631,codex,xsm_control_plane,open_stale,OPEN,99.62,xc-avjd: document crew lane validation contract,codex/xc-avjd-lane-validation-contract,2026-04-28T20:22:51Z,
xenota-collective/xenon,632,codex,unclassified,open_stale,OPEN,99.52,xc-x7wm: persist invalid assignment latch,codex/xc-x7wm-invalid-assignment-latch,2026-04-28T20:28:57Z,
xenota-collective/xenon,633,gemini,unclassified,open_stale,OPEN,99.28,xc-pqp5: compute authoritative changed_paths from git,gemini/xc-pqp5-authoritative-changed-paths,2026-04-28T20:42:58Z,
xenota-collective/xenon,634,codex,landing_protocol,open_stale,OPEN,99.17,Automate emergency hotfix SLA breach patrol,codex/xc-qf84-hotfix-sla-patrol,2026-04-28T20:50:01Z,
xenota-collective/xenon,635,codex,landing_protocol,open_stale,OPEN,99.05,Fix XSM lint and format gates,codex/xc-wtkmz-xsm-lint-format,2026-04-28T20:56:47Z,
xenota-collective/xenon,636,codex,landing_protocol,open_stale,OPEN,98.97,Surface QA handoff JSON parse failures as blocked,codex/xc-loao-qa-json-parse,2026-04-28T21:01:36Z,
xenota-collective/xenon,637,codex,landing_protocol,open_stale,OPEN,98.84,Contain QA verdict path reads,codex/xc-0xhe-qa-verdict-path-bound,2026-04-28T21:09:30Z,
xenota-collective/xenon,638,codex,xsm_control_plane,open_stale,OPEN,98.76,xc-gic3: recover failed actuator prompt prep,codex/xc-53up-actuator-prep-rollback,2026-04-28T21:14:41Z,
xenota-collective/xenon,639,codex,xsm_control_plane,open_stale,OPEN,98.67,Isolate multiline tmux prompt buffers,codex/xc-ksso-named-tmux-buffer,2026-04-28T21:19:52Z,
xenota-collective/xenon,640,gemini,unclassified,open_stale,OPEN,98.62,xc-9kjq.2: implement objective patrol loop CLI and data model,gemini/xc-9kjq.2-objective-patrol-loop,2026-04-28T21:23:03Z,
